
=== ENTITY: wo_chemicals_used | BUNDLE: aspen_twig_gall | Aspen Twig Gall ===
id | integer | ID
uuid | uuid | UUID
langcode | language | Language
type | entity_reference | Type → wo_chemicals_used_type
title | string | Title
uid | entity_reference | Entered by → user
created | created | Entered on
default_langcode | boolean | Default translation
path | path | URL alias
field_chemical | entity_reference | Chemical → chemical
field_chemical_amount_type | list_string | Unit per
field_chemical_cost | decimal | Chemical Cost(Per Unit)
field_per_how_many_gallons | integer | Added per "How Many" gallons
field_subtotal | decimal | Subtotal
field_total_added_to_sprayer | decimal | Amount Added to Tank
field_total_gallons_applied | decimal | Total mixed gallons applied today
field_work_order | entity_reference | Work Order → work_order

=== ENTITY: wo_chemicals_used | BUNDLE: cooley_spruce_gall | Cooley Spruce Gall ===
id | integer | ID
uuid | uuid | UUID
langcode | language | Language
type | entity_reference | Type → wo_chemicals_used_type
title | string | Title
uid | entity_reference | Entered by → user
created | created | Entered on
default_langcode | boolean | Default translation
path | path | URL alias
field_chemical | entity_reference | Chemical → chemical
field_chemical_amount_type | list_string | Unit per
field_chemical_cost | decimal | Chemical Cost(Per Unit)
field_per_how_many_gallons | integer | Added per "How Many" gallons
field_subtotal | decimal | Subtotal
field_total_added_to_sprayer | decimal | Amount Added to Tank
field_total_gallons_applied | decimal | Total mixed gallons applied today
field_work_order | entity_reference | Work Order → work_order

=== ENTITY: wo_chemicals_used | BUNDLE: deciduous_bore | Deciduous Bore ===
id | integer | ID
uuid | uuid | UUID
langcode | language | Language
type | entity_reference | Type → wo_chemicals_used_type
title | string | Title
uid | entity_reference | Entered by → user
created | created | Entered on
default_langcode | boolean | Default translation
path | path | URL alias
field_chemical | entity_reference | Chemical → chemical
field_chemical_amount_type | list_string | Unit per
field_chemical_cost | decimal | Chemical Cost(Per Unit)
field_per_how_many_gallons | integer | Added per "How Many" gallons
field_subtotal | decimal | Subtotal
field_total_added_to_sprayer | decimal | Amount Added to Sprayer
field_total_gallons_applied | decimal | Total mixed gallons applied today
field_work_order | entity_reference | Work Order → work_order

=== ENTITY: wo_chemicals_used | BUNDLE: dormant_oil | Dormant Oil ===
id | integer | ID
uuid | uuid | UUID
langcode | language | Language
type | entity_reference | Type → wo_chemicals_used_type
title | string | Title
uid | entity_reference | Entered by → user
created | created | Entered On
default_langcode | boolean | Default translation
path | path | URL alias
field_chemical | entity_reference | Chemical → chemical
field_chemical_amount_type | list_string | Unit per
field_chemical_cost | decimal | Chemical Cost(Per Unit)
field_per_how_many_gallons | integer | Added per "How Many" gallons
field_subtotal | decimal | Subtotal
field_total_added_to_sprayer | decimal | Amount Added to Tank
field_total_gallons_applied | decimal | Total Gallons Applied
field_work_order | entity_reference | Work Order → work_order

=== ENTITY: wo_chemicals_used | BUNDLE: fertilizers | Fertilizers ===
id | integer | ID
uuid | uuid | UUID
langcode | language | Language
type | entity_reference | Type → wo_chemicals_used_type
title | string | Title
uid | entity_reference | Entered by → user
created | created | Entered on
default_langcode | boolean | Default translation
path | path | URL alias
field_chemical | entity_reference | Fertilizer Used → chemical
field_chemical_cost | decimal | Fertilizer Cost(Per Unit)
field_did_sq_ft_of_lawn_change | boolean | Did Sq Ft of Lawn Change
field_fertilizer_cost | decimal | Fertilizer Subtotal Cost
field_fertilizer_lbs_applied | integer | Fertilizer lbs. Applied
field_new_sq_ft_of_lawn | integer | New Sq Ft of Lawn
field_rate | decimal | Rate
field_work_order | entity_reference | Work Order → work_order

=== ENTITY: wo_chemicals_used | BUNDLE: fertilizers_tree_and_shrubs | Fertilizers - Tree and Shrubs ===
id | integer | ID
uuid | uuid | UUID
langcode | language | Language
type | entity_reference | Type → wo_chemicals_used_type
title | string | Title
uid | entity_reference | Entered by → user
created | created | Entered on
default_langcode | boolean | Default translation
path | path | URL alias
field_applied_to | list_string | Applied to
field_applied_to_garden | boolean | Gardens
field_applied_to_shrubs | boolean | Shrubs
field_applied_to_trees | boolean | Trees
field_chemical | entity_reference | Fertilizer → chemical
field_chemical_cost | decimal | Fertilizer Cost(Per Unit)
field_fertilizer_cost | decimal | Fertilizer Subtotal Cost
field_fertilizer_lbs_applied | integer | How many lbs. applied
field_number_of_shrubs | integer | How many Shrubs
field_number_of_trees | integer | How many Trees
field_sq_ft_of_garden_beds | integer | Sq. Ft. of Garden Beds
field_work_order | entity_reference | Work Order → work_order

=== ENTITY: wo_chemicals_used | BUNDLE: fertilizing_chemicals | Fertilizing Chemicals ===
id | integer | ID
uuid | uuid | UUID
langcode | language | Language
